id	name	area_sqkm	center_lat	center_lng	other_names	lg_code	province_id	district_id	dsd_id	ed_id	pd_id
LG-21040	Pathadumbara PS	38.49	7.350645	80.657879		40	LK-2	LK-21	LK-2112	EC-04	EC-04C
LG-21041	Pathhewaheta PS	133.33	7.212482	80.703446		41	LK-2	LK-21		EC-04	EC-04G
LG-21042	Pujapitiya PS	58.6	7.400318	80.56578		42	LK-2	LK-21	LK-2106	EC-04	EC-04B
LG-21043	Thumpane PS	114.91	7.346769	80.495134		43	LK-2	LK-21		EC-04	EC-04A
LG-21044	Udadumbara PS	277.55	7.328827	80.874486		44	LK-2	LK-21	LK-2118	EC-04	EC-04D
LG-21045	Udapalatha PS	173.72	7.145243	80.630403		45	LK-2	LK-21		EC-04	
LG-21046	Udunuwara PS	68.84	7.222683	80.559451		46	LK-2	LK-21	LK-2139	EC-04	EC-04K
LG-21047	Yatinuwara PS	61.3	7.285391	80.538016		47	LK-2	LK-21	LK-2136	EC-04	EC-04J
LG-22011	Matale MC/ Matale PS	17.19	7.475768	80.619063		11/35	LK-2	LK-22		EC-05	EC-05C
LG-22012	Dambulla MC	53.98	7.860743	80.656023		12	LK-2	LK-22	LK-2206	EC-05	EC-05A
LG-22031	Ambanganga Korale PS	55.38	7.561141	80.678754		31	LK-2	LK-22	LK-2221	EC-05	EC-05B
LG-22032	Dambulla PS	399.36	7.877418	80.726306		32	LK-2	LK-22	LK-2206	EC-05	EC-05A
LG-22033	Galewela PS	196.94	7.779286	80.570693		33	LK-2	LK-22	LK-2203	EC-05	EC-05A
LG-22034	Laggala-Pallegama PS	384.63	7.556101	80.811179		34	LK-2	LK-22		EC-05	EC-05B
LG-22035	Matale PS	54.64	7.559794	80.63285		35	LK-2	LK-22	LK-2218	EC-05	EC-05C
LG-22036	Naula PS	287.89	7.688935	80.707889		36	LK-2	LK-22	LK-2209	EC-05	EC-05B
LG-22037	Pallepola PS	82.9	7.647136	80.599248		37	LK-2	LK-22	LK-2212	EC-05	EC-05A
LG-22038	Rattota PS	103.92	7.485932	80.685504		38	LK-2	LK-22	LK-2230	EC-05	EC-05D
LG-22039	Ukuwela PS	78.4	7.429686	80.639004		39	LK-2	LK-22	LK-2233	EC-05	EC-05D
LG-22040	Wilgamuwa PS	276.13	7.605904	80.931318		40	LK-2	LK-22	LK-2227	EC-05	EC-05B
LG-22041	Yatawatta PS	67.39	7.548664	80.588859		41	LK-2	LK-22	LK-2215	EC-05	EC-05C
LG-23011	Nuwara Eliya MC/ Nuwara Eliya PS	46.3	6.965875	80.779358		11/34	LK-2	LK-23	LK-2312	EC-06	EC-06A
LG-23021	Hatton - Dickoya UC/ Ambagamuwa PS	16.7	6.886439	80.60563		21/31	LK-2	LK-23	LK-2314	EC-06	EC-06A
LG-23022	Thalawakale-Lindula UC/ Kotagala PS	31.29	6.93989	80.66863		22/39	LK-2	LK-23	LK-2313	EC-06	EC-06A
LG-23031	Ambagamuwa PS	185.13	6.941279	80.504309		31	LK-2	LK-23		EC-06	EC-06A
LG-23032	Hanguranketha PS	225.72	7.123265	80.776507		32	LK-2	LK-23		EC-06	EC-06C
LG-23033	Kothmale PS	226.79	7.038477	80.656096		33	LK-2	LK-23		EC-06	EC-06B
LG-23034	Nuwara Eliya PS	173.84	6.920252	80.781245		34	LK-2	LK-23	LK-2312	EC-06	EC-06A
LG-23035	Walapane PS	322.88	7.0925	80.886866		35	LK-2	LK-23		EC-06	EC-06D
LG-23036	Maskeliya PS	156.2	6.811348	80.56089		36	LK-2	LK-23	LK-2314	EC-06	EC-06A
LG-23037	Noorwood PS	128.8	6.816981	80.667324		37	LK-2	LK-23	LK-2314	EC-06	EC-06A
LG-23038	Agarapathana PS	169.09	6.859088	80.720059		38	LK-2	LK-23	LK-2313	EC-06	EC-06A
LG-23039	Kotagala PS	62.07	6.943042	80.625937		39	LK-2	LK-23		EC-06	EC-06A
LG-31011	Galle MC	17.19	6.048309	80.215172		11	LK-3	LK-31	LK-3139	EC-07	EC-07H
LG-31021	Ambalangoda UC	7.23	6.242114	80.065724		21	LK-3	LK-31	LK-3133	EC-07	EC-07B
LG-31022	Hikkaduwa UC	13.04	6.128233	80.119869		22	LK-3	LK-31	LK-3136	EC-07	EC-07G
LG-31031	Akmeemana PS	71.2	6.059798	80.284577		31	LK-3	LK-31	LK-3145	EC-07	EC-07I
LG-31032	Ambalangoda PS	67.37	6.198961	80.116809		32	LK-3	LK-31		EC-07	EC-07B
LG-31033	Baddegama PS	112.86	6.136369	80.220155		33	LK-3	LK-31		EC-07	
LG-31034	Balapitiya PS	54.26	6.314523	80.050593		34	LK-3	LK-31	LK-3106	EC-07	EC-07A
LG-31035	Benthota PS	70.97	6.386622	80.055626		35	LK-3	LK-31	LK-3103	EC-07	EC-07D
LG-31036	Bope_Poddala PS	33.72	6.081956	80.211473		36	LK-3	LK-31		EC-07	
LG-31037	Elpitiya PS	150.64	6.290338	80.185674		37	LK-3	LK-31	LK-3112	EC-07	EC-07D
LG-31038	Habaraduwa PS	48.81	6.001825	80.320646		38	LK-3	LK-31	LK-3154	EC-07	EC-07J
LG-31039	Rajgama PS	50.13	6.142852	80.123289		39	LK-3	LK-31		EC-07	EC-07G
LG-31040	Karandeniya PS	88.55	6.301085	80.100581		40	LK-3	LK-31	LK-3109	EC-07	EC-07C
LG-31041	Nagoda PS	173.43	6.199194	80.313741		41	LK-3	LK-31	LK-3124	EC-07	
LG-31042	Neluwa PS	152.51	6.360383	80.409622		42	LK-3	LK-31	LK-3121	EC-07	EC-07E
LG-31043	Niyagama PS	104.37	6.302514	80.251476		43	LK-3	LK-31	LK-3115	EC-07	EC-07E
LG-31044	Thawalama PS	173.7	6.292952	80.354998		44	LK-3	LK-31	LK-3118	EC-07	EC-07E
LG-31045	Yakkalamulla PS	108.68	6.107609	80.360034		45	LK-3	LK-31	LK-3148	EC-07	EC-07F
LG-31046	Imaduwa PS	58.36	6.032628	80.358504		46	LK-3	LK-31	LK-3151	EC-07	EC-07J
LG-31047	Welivitiya_Divithura PS	56.47	6.206917	80.180778		47	LK-3	LK-31	LK-3130	EC-07	EC-07C
LG-32011	Matara MC	23.14	5.952797	80.538466		11	LK-3	LK-32	LK-3242	EC-08	EC-08F
LG-32021	Weligama UC	4.93	5.971829	80.423023		21	LK-3	LK-32	LK-3239	EC-08	EC-08G
LG-32031	Akuressa PS	150.06	6.135891	80.440469		31	LK-3	LK-32	LK-3218	EC-08	EC-08C
LG-32032	Devinuwara PS	38.16	5.977065	80.614856		32	LK-3	LK-32	LK-3245	EC-08	EC-08E
LG-32033	Dickwella PS	51.11	5.985368	80.673372		33	LK-3	LK-32	LK-3248	EC-08	EC-08E
LG-32034	Hakmana PS	49.52	6.094981	80.649031		34	LK-3	LK-32	LK-3230	EC-08	
LG-32035	Kamburupitiya PS	110.7	6.039269	80.5605		35	LK-3	LK-32		EC-08	EC-08D
LG-32036	Kotapola PS	178.98	6.322503	80.538487		36	LK-3	LK-32	LK-3206	EC-08	EC-08A
LG-32037	Malimbada PS	42.86	6.019686	80.49915		37	LK-3	LK-32	LK-3224	EC-08	EC-08C
LG-32038	Matara PS	33.49	5.969664	80.580371		38	LK-3	LK-32	LK-3242	EC-08	EC-08F
LG-32039	Mulatiyana PS	120.4	6.147335	80.586973		39	LK-3	LK-32	LK-3212	EC-08	EC-08B
LG-32040	Pasgoda PS	154.01	6.276173	80.608151		40	LK-3	LK-32	LK-3209	EC-08	
LG-32042	Weligama PS	107.06	5.99918	80.442313		42	LK-3	LK-32		EC-08	EC-08G
LG-32043	Pitadeddara PS	136.99	6.239504	80.473365		43	LK-3	LK-32	LK-3203	EC-08	EC-08A
LG-32044	Athuraliya PS	63.05	6.117181	80.509603		44	LK-3	LK-32	LK-3215	EC-08	EC-08C
LG-32045	Kirinda Puhulwella PS	41.91	6.046066	80.636112		45	LK-3	LK-32	LK-3233	EC-08	EC-08D
LG-33011	Hambantota MC	91.8	6.167139	81.120387		11	LK-3	LK-33	LK-3312	EC-09	EC-09D
LG-33021	Tangalle UC	3.18	6.031879	80.794863		21	LK-3	LK-33	LK-3333	EC-09	EC-09C
LG-33031	Ambalantota PS	212.81	6.16102	80.96355		31	LK-3	LK-33	LK-3315	EC-09	
LG-33032	Angunakolapelessa PS	171.85	6.19339	80.851244		32	LK-3	LK-33	LK-3318	EC-09	EC-09C
LG-33033	Beliatta PS	102.7	6.050734	80.720383		33	LK-3	LK-33	LK-3330	EC-09	EC-09B
LG-33034	Hambantota PS	251.98	6.218205	81.123751		34	LK-3	LK-33	LK-3312	EC-09	EC-09D
LG-33035	Katuwana PS	169.07	6.242033	80.694471		35	LK-3	LK-33		EC-09	
LG-33036	Lunugamvehera PS	284.91	6.33159	81.162489		36	LK-3	LK-33	LK-3306	EC-09	EC-09D
LG-33037	Tangalle PS	149.58	6.07345	80.827124		37	LK-3	LK-33	LK-3333	EC-09	
LG-33038	Thissamaharama PS	792.11	6.362319	81.429386		38	LK-3	LK-33	LK-3309	EC-09	EC-09D
LG-33039	Weeraketiya PS	201.41	6.167414	80.742377		39	LK-3	LK-33		EC-09	
LG-33040	Sooriyawewa PS	193.66	6.29244	81.015794		40	LK-3	LK-33	LK-3303	EC-09	EC-09D
LG-41011	Jaffna MC	22.75	9.667866	80.028321		11	LK-4	LK-41		EC-10	
LG-41021	Chavakachcheri UC	21.72	9.667126	80.162788		21	LK-4	LK-41	LK-4130	EC-10	EC-10H
LG-41022	Point Pedro UC	4.91	9.820294	80.241709		22	LK-4	LK-41	LK-4127	EC-10	EC-10G
LG-41023	Valvettiturai UC/ Vadamaradchi South West PS	7.93	9.81762	80.152502		23/36	LK-4	LK-41		EC-10	EC-10F
LG-41031	Chavakachcheri PS	213.43	9.678263	80.192078		31	LK-4	LK-41	LK-4130	EC-10	EC-10H
LG-41032	Delft PS	48.44	9.513087	79.690805		32	LK-4	LK-41	LK-4142	EC-10	EC-10A
LG-41033	Kayts PS	32.47	9.67518	79.850124		33	LK-4	LK-41	LK-4103	EC-10	EC-10A
LG-41034	Nallur PS	20.9	9.665127	80.057198		34	LK-4	LK-41	LK-4133	EC-10	EC-10I
LG-41035	Point Pedro PS	215.87	9.63596	80.388399		35	LK-4	LK-41		EC-10	
LG-41036	Vadamaradchi South West PS	86.11	9.775736	80.183422		36	LK-4	LK-41	LK-4121	EC-10	
LG-41037	Valikamam East PS	108.75	9.736957	80.097029		37	LK-4	LK-41	LK-4118	EC-10	EC-10E
LG-41038	Valikamam North PS	61.68	9.789107	80.042169		38	LK-4	LK-41	LK-4112	EC-10	EC-10C
LG-41039	Valikamam South PS	34.38	9.744762	80.034763		39	LK-4	LK-41	LK-4115	EC-10	
LG-41040	Valikamam South West PS	47.65	9.750615	79.981145		40	LK-4	LK-41	LK-4109	EC-10	
LG-41041	Valikamam West PS	48.94	9.74171	79.945292		41	LK-4	LK-41	LK-4106	EC-10	EC-10B
LG-41042	Velanai PS	90.73	9.622153	79.891398		42	LK-4	LK-41	LK-4139	EC-10	EC-10A
LG-41043	Karainagar PS	23.64	9.735886	79.874717		43	LK-4	LK-41	LK-4104	EC-10	EC-10B
LG-42021	Mannar UC	16.71	8.980788	79.896059		21	LK-4	LK-42	LK-4203	EC-11	EC-11A
LG-42031	Mannar PS	203.47	8.992898	79.886867		31	LK-4	LK-42	LK-4203	EC-11	EC-11A
LG-42032	Manthai West PS	1084.59	8.958245	80.171352		32	LK-4	LK-42		EC-11	EC-11A
LG-42033	Musali PS	463.26	8.677386	80.021293		33	LK-4	LK-42	LK-4215	EC-11	EC-11A
LG-42034	Nanattan PS	242.79	8.802894	80.053139		34	LK-4	LK-42		EC-11	EC-11A
LG-43011	Vavuniya MC/ Vavuniya South (Tamil) PS	33.57	8.756608	80.493521		11/33	LK-4	LK-43	LK-4309	EC-11	EC-11B
LG-43031	Vavuniya North PS	686.72	9.004658	80.576682		31	LK-4	LK-43	LK-4303	EC-11	EC-11B
LG-43032	Vavuniya South (Sinhala) PS	216.25	8.7351	80.513638		32	LK-4	LK-43	LK-4306	EC-11	EC-11B
LG-43033	Vavuniya South (Tamil) PS	583.28	8.838244	80.45458		33	LK-4	LK-43	LK-4309	EC-11	EC-11B
LG-43034	Vengalacheddikulam PS	415.08	8.692808	80.294587		34	LK-4	LK-43	LK-4312	EC-11	EC-11B
LG-44031	Vavuniya North PS	85.77	8.973439	80.749125		31	LK-4	LK-44	LK-4418	EC-11	EC-11B
LG-44041	Manthai East PS	485.91	9.06305	80.308719		41	LK-4	LK-44	LK-4406	EC-11	EC-11C
LG-44042	Maritimepattu PS	691.21	9.149428	80.806493		42	LK-4	LK-44		EC-11	EC-11C
LG-44043	Puthukudiyiruppu PS	1089.07	9.230581	80.565654		43	LK-4	LK-44		EC-11	EC-11C
LG-44044	Thunukkai PS	329.19	9.222892	80.286117		44	LK-4	LK-44	LK-4403	EC-11	EC-11C
LG-45031	Karachchi PS	669.87	9.394491	80.395724		31	LK-4	LK-45		EC-10	EC-10K
LG-45032	Pachchillaipalli PS	176.03	9.590645	80.359079		32	LK-4	LK-45	LK-4503	EC-10	EC-10K
LG-45033	Poonagari PS	473.39	9.396612	80.168652		33	LK-4	LK-45	LK-4512	EC-10	EC-10K
LG-51001	Eravur Pattu PS	4.76	7.759147	81.636557		1	LK-5	LK-51	LK-5112	EC-12	EC-12B
LG-51002	Eravur Pattu PS	6.86	7.781256	81.633447		2	LK-5	LK-51	LK-5112	EC-12	
LG-51003	Eravur Pattu PS	1.82	7.790749	81.617729		3	LK-5	LK-51	LK-5112	EC-12	EC-12B
LG-51004	Eravur Pattu PS	1.15	7.780385	81.617286		4	LK-5	LK-51	LK-5112	EC-12	EC-12B
LG-51005	Koralai Pattu PS	3.96	7.912009	81.549065		5	LK-5	LK-51		EC-12	
LG-51006	Koralai Pattu PS	19.75	7.861704	81.585223		6	LK-5	LK-51		EC-12	
LG-51007	Koralai Pattu PS	16.63	7.84243	81.575476		7	LK-5	LK-51		EC-12	
LG-51008	Eravur Pattu PS	0.86	7.821029	81.558593		8	LK-5	LK-51	LK-5112	EC-12	EC-12A
LG-51009	Eravur Pattu PS	2.1	7.813881	81.565911		9	LK-5	LK-51	LK-5112	EC-12	EC-12A
LG-51010	Koralai Pattu PS	10.1	7.834922	81.536284		10	LK-5	LK-51		EC-12	EC-12A
LG-51011	Koralai Pattu PS	77.48	7.764301	81.628713		11	LK-5	LK-51		EC-12	
LG-51012	Eravur Pattu PS	4.45	7.791113	81.583752		12	LK-5	LK-51	LK-5112	EC-12	EC-12A
LG-51013	Eravur Pattu PS	1.9	7.779962	81.592291		13	LK-5	LK-51	LK-5112	EC-12	EC-12A
LG-51014	Eravur Pattu PS	79.22	7.739319	81.531287		14	LK-5	LK-51	LK-5112	EC-12	EC-12B
LG-51015	Eravur Pattu PS	226.89	7.739272	81.353361		15	LK-5	LK-51	LK-5112	EC-12	EC-12A
LG-51016	Eravur Pattu PS	88.65	7.676967	81.479238		16	LK-5	LK-51	LK-5112	EC-12	EC-12B
LG-51017	Eravur Pattu PS	109.67	7.595566	81.47896		17	LK-5	LK-51	LK-5112	EC-12	EC-12B
LG-51018	Eravur Pattu PS	15.11	7.522429	81.525216		18	LK-5	LK-51	LK-5112	EC-12	EC-12B
LG-51021	Kattankudy UC	3.82	7.682997	81.732007		21	LK-5	LK-51	LK-5124	EC-12	EC-12B
LG-51022	Eravur UC	1.81	7.775767	81.608359		22	LK-5	LK-51	LK-5115	EC-12	EC-12B
LG-51034	Koralai Pattu PS	507.41	7.852806	81.381482		34	LK-5	LK-51		EC-12	EC-12A
LG-51035	Koralai Pattu North PS	515.63	8.088146	81.374648		35	LK-5	LK-51		EC-12	EC-12A
LG-51036	Koralai Pattu West PS	121.61	7.925529	81.386946		36	LK-5	LK-51		EC-12	EC-12A
LG-51037	Manmunaipattu PS	25.22	7.638865	81.75385		37	LK-5	LK-51	LK-5127	EC-12	EC-12B
LG-51038	Manmunai South & Eruvil Pattu PS	42.01	7.5231	81.791174		38	LK-5	LK-51	LK-5136	EC-12	EC-12C
LG-51039	Manmunai South-West PS	143.89	7.567683	81.661643		39	LK-5	LK-51	LK-5130	EC-12	EC-12C
LG-51040	Manmunai West (Vavunativu) PS	280.58	7.632937	81.598993		40	LK-5	LK-51	LK-5121	EC-12	EC-12B
LG-51041	Porativepattu PS	156.56	7.497842	81.704954		41	LK-5	LK-51	LK-5133	EC-12	EC-12C
LG-52011	Kalmunai MC	24.26	7.41718	81.817666		11	LK-5	LK-52		EC-13	EC-13C
LG-52012	Akkaraipattu MC	7.34	7.22736	81.846785		12	LK-5	LK-52	LK-5236	EC-13	
LG-52021	Ampara UC/ Namaloya PS	43.44	7.293568	81.664401		21/39	LK-5	LK-52	LK-5215	EC-13	EC-13A
LG-52031	Addalachchanai PS	74.4	7.264536	81.812687		31	LK-5	LK-52	LK-5233	EC-13	EC-13D
LG-52032	Alayadiwembu PS	69.69	7.170789	81.807373		32	LK-5	LK-52	LK-5239	EC-13	EC-13D
LG-52033	Damana PS	478.17	7.133109	81.628447		33	LK-5	LK-52	LK-5242	EC-13	
LG-52034	Dehiattakandiya PS	374.18	7.626104	81.073565		34	LK-5	LK-52	LK-5203	EC-13	EC-13A
LG-52036	Akkaraipattu PS	46.34	7.210244	81.790491		36	LK-5	LK-52	LK-5236	EC-13	EC-13B
LG-52037	Lahugala PS	815.3	6.743613	81.698939		37	LK-5	LK-52	LK-5251	EC-13	EC-13D
LG-52038	Mahaoya PS	680.41	7.55649	81.350833		38	LK-5	LK-52	LK-5209	EC-13	EC-13A
LG-52039	Namaloya PS	107.44	7.267299	81.58113		39	LK-5	LK-52		EC-13	EC-13A
LG-52040	Ninthavur PS	35.94	7.326839	81.839824		40	LK-5	LK-52	LK-5230	EC-13	EC-13D
LG-52041	Padiyathalawa  PS	388.23	7.422272	81.261851		41	LK-5	LK-52	LK-5206	EC-13	EC-13A
LG-52042	Pothuvil  PS	309.36	6.949757	81.797796		42	LK-5	LK-52	LK-5248	EC-13	EC-13D
LG-52043	Sammanthurai PS	108.91	7.329298	81.767875		43	LK-5	LK-52	LK-5218	EC-13	EC-13B
LG-52044	Thirukkovili PS	218.5	7.079586	81.794782		44	LK-5	LK-52	LK-5245	EC-13	EC-13D
LG-52045	Uhana PS	535.55	7.401039	81.592516		45	LK-5	LK-52	LK-5212	EC-13	EC-13A
LG-52046	Karathivu PS	10.15	7.372969	81.833667		46	LK-5	LK-52	LK-5227	EC-13	EC-13D
LG-52047	Navithanveli PS	79.81	7.419463	81.762775		47	LK-5	LK-52	LK-5216	EC-13	EC-13B
LG-52048	Irakkamam PS	67.23	7.2411	81.722174		48	LK-5	LK-52	LK-5234	EC-13	EC-13B
LG-53011	Trincomalee MC	14.03	8.57326	81.22406		11	LK-5	LK-53	LK-5315	EC-14	EC-14B
LG-53022	Kinniya UC	7.6	8.486597	81.187854		22	LK-5	LK-53	LK-5324	EC-14	EC-14C
LG-53031	Gomarankadawala PS	307.33	8.749348	80.966816		31	LK-5	LK-53	LK-5309	EC-14	EC-14A
LG-53032	Kanthale PS	412.73	8.342622	81.055903		32	LK-5	LK-53	LK-5321	EC-14	EC-14A
LG-53033	Kinniya PS	143.95	8.433257	81.158812		33	LK-5	LK-53	LK-5324	EC-14	EC-14C
LG-53034	Kuchchaveli PS	446.97	8.813051	81.047186		34	LK-5	LK-53	LK-5306	EC-14	EC-14B
LG-53035	Morawewa PS	278.14	8.625746	81.019771		35	LK-5	LK-53	LK-5312	EC-14	EC-14A
LG-53036	Muttur PS	194.19	8.431494	81.291319		36	LK-5	LK-53	LK-5327	EC-14	EC-14C
LG-53037	Padavi Sri Pura PS	113.33	8.915208	80.855145		37	LK-5	LK-53	LK-5303	EC-14	EC-14A
LG-53038	Seruvila PS	293.32	8.287808	81.25641		38	LK-5	LK-53	LK-5330	EC-14	EC-14A
LG-53039	Thambalagamuwa PS	274.19	8.509573	81.042854		39	LK-5	LK-53	LK-5318	EC-14	
LG-53040	Trincomalee Town and Gravets  PS	115.79	8.583752	81.168726		40	LK-5	LK-53	LK-5315	EC-14	EC-14B
LG-53041	Verugal PS	90.54	8.318232	81.363485		41	LK-5	LK-53	LK-5333	EC-14	EC-14A
